,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
DLG3,-1.5201603949500289,2.952745367876058,15.450676887211257,0.0011946872009534078,0.006955806699841375,DLG3,T_cells_CD4
MT-TH,-1.6485189553807527,2.9302336920406336,15.44885296112262,0.0011952708360410318,0.006955806699841375,MT-TH,T_cells_CD4
LDLRAD4,-0.8999560086772521,3.1827634160409253,15.447984625436916,0.0011955488065405707,0.006955806699841375,LDLRAD4,T_cells_CD4
SMYD3,0.6038123437519193,4.105508425056099,15.445191773948606,0.001196443345991589,0.006957374316032595,SMYD3,T_cells_CD4
SRP72,-0.430032358977826,6.231454714353094,15.442854614428851,0.0011971925104032764,0.006958095373779878,SRP72,T_cells_CD4
SF3B4,0.5775445090157225,5.0060078129453744,15.419857037240691,0.0012045926041084586,0.0069974507743878625,SF3B4,T_cells_CD4
PRELID1,0.4532159418774781,7.767181555673118,15.397618169293342,0.0012117977574057086,0.007035633301995585,PRELID1,T_cells_CD4
NOL12,-0.6766828688215825,3.6435555183312665,15.36639424956851,0.0012219963093445443,0.007091146466634399,NOL12,T_cells_CD4
CERCAM,2.0270069007679288,0.4152788662467825,15.361581337345461,0.0012235769442779407,0.007094427862174946,CERCAM,T_cells_CD4
LDLR,-1.3082555626126386,2.3253516230812563,15.358532666640128,0.00122457937021346,0.007094427862174946,LDLR,T_cells_CD4
ATP5PF,0.46682340917543413,8.022970526886507,15.357320654829046,0.0012249781466351754,0.007094427862174946,ATP5PF,T_cells_CD4
KRAS,0.4335103656227578,6.66276633961635,15.356500723355426,0.0012252480039073386,0.007094427862174946,KRAS,T_cells_CD4
TRIM8,-0.5966270962296044,4.941635191300949,15.354979477213748,0.0012257488570496335,0.007094427862174946,TRIM8,T_cells_CD4
